Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
UHC service coverage index,SH.UHC.SRVS.CV.XD,Honduras,HND,..,..,..,..,..,..,66,..,65,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Hungary,HUN,..,..,..,..,..,..,73,..,74,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Iceland,ISL,..,..,..,..,..,..,85,..,84,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,India,IND,..,..,..,..,..,..,52,..,55,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Indonesia,IDN,..,..,..,..,..,..,53,..,57,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,70,..,72,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Iraq,IRQ,..,..,..,..,..,..,61,..,61,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Ireland,IRL,..,..,..,..,..,..,79,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Israel,ISR,..,..,..,..,..,..,81,..,82,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Italy,ITA,..,..,..,..,..,..,81,..,82,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Jamaica,JAM,..,..,..,..,..,..,62,..,65,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Japan,JPN,..,..,..,..,..,..,80,..,83,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Jordan,JOR,..,..,..,..,..,..,76,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Kazakhstan,KAZ,..,..,..,..,..,..,74,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Kenya,KEN,..,..,..,..,..,..,54,..,55,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Kiribati,KIR,..,..,..,..,..,..,39,..,41,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,70,..,71,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Korea, Rep.",KOR,..,..,..,..,..,..,85,..,86,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Kuwait,KWT,..,..,..,..,..,..,75,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Kyrgyz Republic,KGZ,..,..,..,..,..,..,68,..,70,..,..,..
